Date,,Flux,SEM
01/07/2011,Palsa,0.01,-0.19
02/07/2011,Palsa,0.01,-0.22
03/07/2011,Palsa,0.02,-0.27
04/07/2011,Palsa,0.01,-0.28
05/07/2011,Palsa,0.02,-0.04
06/07/2011,Palsa,0.02,-0.02
07/07/2011,Palsa,0.04,0.01
08/07/2011,Palsa,0.03,-0.07
09/07/2011,Palsa,0.01,0.00
10/07/2011,Palsa,0.05,-0.01
11/07/2011,Palsa,0.06,-0.02
12/07/2011,Palsa,0.01,0.02
13/07/2011,Palsa,0.01,0.00
14/07/2011,Palsa,0.01,-0.01
15/07/2011,Palsa,0.01,0.02
16/07/2011,Palsa,0.16,-0.17
17/07/2011,Palsa,0.01,0.00
18/07/2011,Palsa,0.01,-0.01
19/07/2011,Palsa,0.00,-0.03
20/07/2011,Palsa,0.01,-0.01
21/07/2011,Palsa,0.01,-0.01
22/07/2011,Palsa,0.01,0.01
23/07/2011,Palsa,0.04,-0.02
24/07/2011,Palsa,0.00,0.00
25/07/2011,Palsa,0.03,0.02
26/07/2011,Palsa,0.01,-0.01
27/07/2011,Palsa,0.01,0.00
28/07/2011,Palsa,0.01,-0.01
29/07/2011,Palsa,0.01,-0.01
30/07/2011,Palsa,0.02,-0.01
31/07/2011,Palsa,0.00,-0.02
01/08/2011,Palsa,0.00,-0.02
02/08/2011,Palsa,,
03/08/2011,Palsa,,
04/08/2011,Palsa,,
05/08/2011,Palsa,,
06/08/2011,Palsa,,
07/08/2011,Palsa,,
08/08/2011,Palsa,,
09/08/2011,Palsa,,
10/08/2011,Palsa,0.02,0.01
11/08/2011,Palsa,0.01,0.01
12/08/2011,Palsa,0.03,-0.03
13/08/2011,Palsa,0.01,0.00
14/08/2011,Palsa,0.00,0.00
15/08/2011,Palsa,,-0.02
16/08/2011,Palsa,,
17/08/2011,Palsa,,
18/08/2011,Palsa,0.01,0.00
19/08/2011,Palsa,0.00,0.00
20/08/2011,Palsa,0.00,0.00
21/08/2011,Palsa,0.00,0.00
22/08/2011,Palsa,0.00,0.01
23/08/2011,Palsa,0.01,0.00
24/08/2011,Palsa,0.02,0.01
25/08/2011,Palsa,,0.94
26/08/2011,Palsa,0.01,-0.02
27/08/2011,Palsa,0.02,0.00
28/08/2011,Palsa,0.20,0.21
29/08/2011,Palsa,0.00,0.01
30/08/2011,Palsa,0.00,0.00
31/08/2011,Palsa,0.00,0.00
01/09/2011,Palsa,0.01,0.01
02/09/2011,Palsa,0.03,0.04
03/09/2011,Palsa,0.00,0.00
04/09/2011,Palsa,0.00,0.00
05/09/2011,Palsa,0.04,-0.06
06/09/2011,Palsa,0.00,0.00
07/09/2011,Palsa,0.03,0.01
08/09/2011,Palsa,0.00,0.00
09/09/2011,Palsa,0.00,0.00
10/09/2011,Palsa,0.01,0.01
11/09/2011,Palsa,0.01,0.00
12/09/2011,Palsa,0.00,0.00
13/09/2011,Palsa,0.01,0.00
14/09/2011,Palsa,0.02,0.04
15/09/2011,Palsa,,
16/09/2011,Palsa,0.03,-0.01
17/09/2011,Palsa,0.02,0.00
18/09/2011,Palsa,0.02,0.03
19/09/2011,Palsa,0.03,-0.04
20/09/2011,Palsa,0.00,0.00
21/09/2011,Palsa,0.00,0.00
22/09/2011,Palsa,0.00,0.00
23/09/2011,Palsa,0.01,0.00
24/09/2011,Palsa,0.04,0.01
25/09/2011,Palsa,0.03,0.03
26/09/2011,Palsa,0.02,0.00
27/09/2011,Palsa,0.02,0.05
28/09/2011,Palsa,0.01,0.02
29/09/2011,Palsa,0.01,0.00
30/09/2011,Palsa,0.02,0.00
01/10/2011,Palsa,0.05,0.09
02/10/2011,Palsa,0.01,0.02
