Date,Group,Ratio,SE
01/07/2011,Sphagnum,-81.86,2.22
02/07/2011,Sphagnum,-80.04,2.69
03/07/2011,Sphagnum,-82.66,1.64
04/07/2011,Sphagnum,-81.99,1.76
05/07/2011,Sphagnum,-82.79,2.49
06/07/2011,Sphagnum,-82.92,3.06
07/07/2011,Sphagnum,-82.01,2.65
08/07/2011,Sphagnum,-81.36,1.91
09/07/2011,Sphagnum,-83.75,1.96
10/07/2011,Sphagnum,-83.31,3.20
11/07/2011,Sphagnum,-82.50,2.16
12/07/2011,Sphagnum,-76.00,2.44
13/07/2011,Sphagnum,-74.97,1.26
14/07/2011,Sphagnum,-79.57,2.06
15/07/2011,Sphagnum,-81.72,2.14
16/07/2011,Sphagnum,-76.89,1.66
17/07/2011,Sphagnum,-74.87,2.47
18/07/2011,Sphagnum,-77.22,4.71
19/07/2011,Sphagnum,-72.50,4.21
20/07/2011,Sphagnum,-75.04,1.88
21/07/2011,Sphagnum,-76.34,2.71
22/07/2011,Sphagnum,-76.61,1.36
23/07/2011,Sphagnum,-74.41,1.84
24/07/2011,Sphagnum,-76.55,1.15
25/07/2011,Sphagnum,-73.42,1.56
26/07/2011,Sphagnum,-77.65,0.31
27/07/2011,Sphagnum,-75.77,2.16
28/07/2011,Sphagnum,-75.46,1.13
29/07/2011,Sphagnum,-75.12,3.83
30/07/2011,Sphagnum,-76.31,2.58
31/07/2011,Sphagnum,-75.35,2.47
01/08/2011,Sphagnum,-76.89,1.68
02/08/2011,Sphagnum,,
03/08/2011,Sphagnum,,
04/08/2011,Sphagnum,,
05/08/2011,Sphagnum,,
06/08/2011,Sphagnum,,
07/08/2011,Sphagnum,,
08/08/2011,Sphagnum,,
09/08/2011,Sphagnum,,
10/08/2011,Sphagnum,-77.12,4.77
11/08/2011,Sphagnum,-77.33,2.91
12/08/2011,Sphagnum,-78.46,1.33
13/08/2011,Sphagnum,-76.54,1.66
14/08/2011,Sphagnum,-79.22,0.75
15/08/2011,Sphagnum,,
16/08/2011,Sphagnum,,
17/08/2011,Sphagnum,,
18/08/2011,Sphagnum,-76.63,3.58
19/08/2011,Sphagnum,-80.13,5.13
20/08/2011,Sphagnum,-69.48,1.94
21/08/2011,Sphagnum,-76.65,1.27
22/08/2011,Sphagnum,-81.04,5.03
23/08/2011,Sphagnum,-79.97,2.15
24/08/2011,Sphagnum,-78.29,1.13
25/08/2011,Sphagnum,-77.37,
26/08/2011,Sphagnum,-78.13,
27/08/2011,Sphagnum,-80.81,2.45
28/08/2011,Sphagnum,-78.55,2.67
29/08/2011,Sphagnum,-79.10,1.16
30/08/2011,Sphagnum,-84.58,1.41
31/08/2011,Sphagnum,-83.05,1.86
01/09/2011,Sphagnum,-81.44,4.44
02/09/2011,Sphagnum,-82.72,3.43
03/09/2011,Sphagnum,-81.83,0.45
04/09/2011,Sphagnum,-80.39,
05/09/2011,Sphagnum,-77.32,1.72
06/09/2011,Sphagnum,-80.20,2.22
07/09/2011,Sphagnum,-83.13,2.59
08/09/2011,Sphagnum,-84.06,2.01
09/09/2011,Sphagnum,-83.20,1.62
10/09/2011,Sphagnum,-81.23,0.82
11/09/2011,Sphagnum,-82.64,2.29
12/09/2011,Sphagnum,-82.47,2.45
13/09/2011,Sphagnum,-80.85,1.16
14/09/2011,Sphagnum,-80.33,1.10
15/09/2011,Sphagnum,,
16/09/2011,Sphagnum,-80.57,1.38
17/09/2011,Sphagnum,-80.75,2.17
18/09/2011,Sphagnum,-80.27,1.19
19/09/2011,Sphagnum,-75.62,3.57
20/09/2011,Sphagnum,-83.11,1.73
21/09/2011,Sphagnum,-80.24,1.29
22/09/2011,Sphagnum,-81.43,0.88
23/09/2011,Sphagnum,-78.04,1.47
24/09/2011,Sphagnum,-77.17,1.58
25/09/2011,Sphagnum,-74.95,0.45
26/09/2011,Sphagnum,-79.53,0.74
27/09/2011,Sphagnum,-79.35,0.66
28/09/2011,Sphagnum,-80.29,1.40
29/09/2011,Sphagnum,-79.05,1.42
30/09/2011,Sphagnum,-80.50,1.46
01/10/2011,Sphagnum,-77.33,0.60
02/10/2011,Sphagnum,-80.44,1.54
03/10/2011,Sphagnum,-79.40,0.82
04/10/2011,Sphagnum,-80.80,0.39
05/10/2011,Sphagnum,-79.79,1.02
06/10/2011,Sphagnum,-80.64,0.64
07/10/2011,Sphagnum,-82.10,1.77
08/10/2011,Sphagnum,-81.20,1.46
09/10/2011,Sphagnum,-85.75,6.05
10/10/2011,Sphagnum,-83.29,1.18
11/10/2011,Sphagnum,-76.34,2.13
12/10/2011,Sphagnum,-69.99,
13/10/2011,Sphagnum,,
14/10/2011,Sphagnum,-74.71,5.38
15/10/2011,Sphagnum,-76.95,1.00
16/10/2011,Sphagnum,-72.46,2.04
01/07/2011,Eriophorum,-68.56,3.11
02/07/2011,Eriophorum,-68.13,2.37
03/07/2011,Eriophorum,-68.88,3.20
04/07/2011,Eriophorum,-68.38,1.31
05/07/2011,Eriophorum,-66.17,1.33
06/07/2011,Eriophorum,-66.10,0.87
07/07/2011,Eriophorum,-67.46,2.09
08/07/2011,Eriophorum,-67.27,1.15
09/07/2011,Eriophorum,-65.37,0.77
10/07/2011,Eriophorum,-62.76,1.60
